Reaction,Subsystem
r_2140,Fatty acid metabolism
r_2141,Fatty acid biosynthesis
r_2141,Fatty acid metabolism
y300052,Fatty acid degradation
t_0009,Fatty acid degradation (mitochondrial)
t_0010,Fatty acid degradation (mitochondrial)
t_0011,Fatty acid degradation (mitochondrial)
t_0012,Fatty acid degradation (mitochondrial)
t_0013,Fatty acid degradation (mitochondrial)
t_0014,Fatty acid degradation (mitochondrial)
t_0015,Fatty acid degradation (mitochondrial)
t_0016,Fatty acid degradation (mitochondrial)
t_0017,Fatty acid degradation (mitochondrial)
t_0018,Fatty acid degradation (mitochondrial)
t_0019,Fatty acid degradation (mitochondrial)
t_0020,Fatty acid degradation (mitochondrial)
t_0021,Fatty acid degradation (mitochondrial)
t_0022,Fatty acid degradation (mitochondrial)
t_0023,Fatty acid degradation (mitochondrial)
t_0024,Fatty acid degradation (mitochondrial)
t_0025,Fatty acid degradation (mitochondrial)
t_0026,Fatty acid degradation (mitochondrial)
t_0028,Fatty acid degradation (mitochondrial)
t_0029,Fatty acid degradation (mitochondrial)
t_0030,Fatty acid degradation (mitochondrial)
t_0031,Fatty acid degradation (mitochondrial)
t_0032,Fatty acid degradation (mitochondrial)
t_0033,Fatty acid degradation (mitochondrial)
t_0034,Fatty acid degradation (mitochondrial)
t_0035,Fatty acid degradation (mitochondrial)
t_0036,Fatty acid degradation (mitochondrial)
t_0037,Fatty acid degradation (mitochondrial)
t_0038,Fatty acid degradation (mitochondrial)
t_0039,Fatty acid degradation (mitochondrial)
t_0040,Fatty acid degradation (mitochondrial)
t_0041,Fatty acid degradation (mitochondrial)
t_0042,Fatty acid degradation (mitochondrial)
t_0043,Fatty acid degradation (mitochondrial)
t_0044,Fatty acid degradation (mitochondrial)
t_0045,Fatty acid degradation (mitochondrial)
t_0046,Fatty acid degradation (mitochondrial)
t_0047,Fatty acid degradation (mitochondrial)
t_0048,Fatty acid degradation (mitochondrial)
t_0049,Fatty acid degradation (mitochondrial)
t_0050,Fatty acid degradation (mitochondrial)
t_0051,Fatty acid degradation (mitochondrial)
t_0052,Fatty acid degradation (mitochondrial)
t_0053,Fatty acid degradation (mitochondrial)
t_0054,Fatty acid degradation (mitochondrial)
t_0055,Fatty acid degradation (mitochondrial)
t_0056,Fatty acid degradation (mitochondrial)
t_0057,Fatty acid degradation (mitochondrial)
t_0058,Fatty acid degradation (mitochondrial)
t_0059,Fatty acid degradation (mitochondrial)
t_0060,Fatty acid degradation (mitochondrial)
t_0061,Fatty acid degradation (mitochondrial)
t_0062,Fatty acid degradation (mitochondrial)
t_0063,Fatty acid degradation (mitochondrial)
t_0064,Fatty acid degradation (mitochondrial)
t_0065,Fatty acid degradation (mitochondrial)
t_0066,Fatty acid degradation (mitochondrial)
t_0067,Fatty acid degradation (mitochondrial)
t_0068,Fatty acid degradation (mitochondrial)
t_0069,Fatty acid degradation (mitochondrial)
t_0070,Fatty acid degradation (mitochondrial)
t_0071,Fatty acid degradation (mitochondrial)
t_0072,Fatty acid degradation (mitochondrial)
t_0073,Fatty acid degradation (mitochondrial)
t_0074,Fatty acid degradation (mitochondrial)
t_0075,Fatty acid degradation (mitochondrial)
t_0076,Fatty acid degradation (peroxisome)
y300009,Fatty acid elongation
r_0017,Folate biosynthesis
r_0066,Folate biosynthesis
r_0346,Folate biosynthesis
r_0347,Folate biosynthesis
r_0350,Folate biosynthesis
r_0351,Folate biosynthesis
r_0524,Folate biosynthesis
r_1031,Folate biosynthesis
r_0344,Folate biosynthesis
r_0344,One carbon pool by folate
r_0345,Folate biosynthesis
r_0345,One carbon pool by folate
r_0188,Folate biosynthesis
r_0188,Thiamine metabolism
r_0090,Fructose and mannose metabolism
r_0448,Fructose and mannose metabolism
y200002,Fructose and mannose metabolism
r_0323,Fructose and mannose metabolism
r_0323,Pentose and glucuronate interconversions
r_0691,Fructose and mannose metabolism
r_0691,Pentose and glucuronate interconversions
r_0198,Galactose metabolism
r_0198,Starch and sucrose metabolism
r_1024,Galactose metabolism
r_1024,Starch and sucrose metabolism
r_0481,Glutathione metabolism
r_0482,Glutathione metabolism
r_0483,Glutathione metabolism
y300058,Glutathione metabolism
y300063,Glutathione metabolism
r_0974,Glutathione metabolism
r_0974,Purine metabolism
r_0974,Pyrimidine metabolism
r_0975,Glutathione metabolism
r_0975,Purine metabolism
r_0975,Pyrimidine metabolism
r_0976,Glutathione metabolism
r_0976,Purine metabolism
r_0976,Pyrimidine metabolism
r_0977,Glutathione metabolism
r_0977,Purine metabolism
r_0977,Pyrimidine metabolism
r_0978,Glutathione metabolism
r_0978,Purine metabolism
r_0978,Pyrimidine metabolism
r_0979,Glutathione metabolism
r_0979,Purine metabolism
r_0979,Pyrimidine metabolism
r_1039,Glutathione metabolism
r_1039,Selenocompound metabolism
r_0457,Glutathione metabolism
r_0457,Taurine and hypotaurine metabolism
r_0487,Glycerolipid metabolism
r_0488,Glycerolipid metabolism
r_0489,Glycerolipid metabolism
r_0273,Glycerophospholipid metabolism
r_0368,Glycerophospholipid metabolism
r_0274,Glycerophospholipid metabolism
r_0274,Phosphonate and phosphinate metabolism
r_0885,Glycerophospholipid metabolism
r_0885,Phosphonate and phosphinate metabolism
y300065,"Glycine, serine and threonine metabolism"
y300066,"Glycine, serine and threonine metabolism"
y300067,"Glycine, serine and threonine metabolism"
r_0676,"Glycine, serine and threonine metabolism"
r_0676,Pyrimidine metabolism
r_0690,"Glycine, serine and threonine metabolism"
r_0690,Pyrimidine metabolism
r_0137,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
r_0518,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
r_0757,Inositol phosphate metabolism
r_0757,Phosphatidylinositol signaling system
r_0147,Longevity regulating pathway - multiple species
r_0147,Meiosis - yeast
r_0147,Purine metabolism
r_0767,Longevity regulating pathway - multiple species
r_0767,Nicotinate and nicotinamide metabolism
r_0781,Longevity regulating pathway - multiple species
r_0781,Nicotinate and nicotinamide metabolism
y300051,Lysine degradation
y300054,Lysine degradation
y300055,Lysine degradation
r_0362,Mannose type O-glycan biosynthesis
r_0362,Other types of O-glycan biosynthesis
r_0688,MAPK signaling pathway - yeast
r_0688,Pentose and glucuronate interconversions
r_0688,Propanoate metabolism
r_0688,Pyruvate metabolism
r_0005,MAPK signaling pathway - yeast
r_0005,Starch and sucrose metabolism
r_1134,Meiosis - yeast
r_1135,Meiosis - yeast
r_1139,Meiosis - yeast
r_1166,Meiosis - yeast
r_0360,N-Glycan biosynthesis
r_0361,N-Glycan biosynthesis
r_0228,N-Glycan biosynthesis
r_0228,Various types of N-glycan biosynthesis
r_0765,Nicotinate and nicotinamide metabolism
r_0766,Nicotinate and nicotinamide metabolism
r_0768,Nicotinate and nicotinamide metabolism
r_0769,Nicotinate and nicotinamide metabolism
r_0771,Nicotinate and nicotinamide metabolism
r_0772,Nicotinate and nicotinamide metabolism
r_0774,Nicotinate and nicotinamide metabolism
r_0775,Nicotinate and nicotinamide metabolism
r_0783,Nicotinate and nicotinamide metabolism
r_0784,Nicotinate and nicotinamide metabolism
r_0785,Nicotinate and nicotinamide metabolism
r_0786,Nicotinate and nicotinamide metabolism
r_0787,Nicotinate and nicotinamide metabolism
r_0764,Nicotinate and nicotinamide metabolism
r_0764,Peroxisome
r_0446,One carbon pool by folate
r_0447,One carbon pool by folate
r_0724,One carbon pool by folate
r_0725,One carbon pool by folate
r_0731,One carbon pool by folate
r_0732,One carbon pool by folate
r_0733,One carbon pool by folate
r_1045,One carbon pool by folate
r_1045,Pyrimidine metabolism
r_0192,Other types of O-glycan biosynthesis
r_0192,Various types of N-glycan biosynthesis
r_0099,Oxidative phosphorylation
r_0226,Oxidative phosphorylation
r_0568,Oxidative phosphorylation
r_0569,Oxidative phosphorylation
t_0001,Oxidative phosphorylation
r_1085,Oxidative phosphorylation
r_1085,Phagosome
r_1086,Oxidative phosphorylation
r_1086,Phagosome
r_0227,Oxidative phosphorylation
r_0227,Purine metabolism
r_0227,Pyrimidine metabolism
r_0438,Oxidative phosphorylation
r_0438,Sulfur metabolism
r_0439,Oxidative phosphorylation
r_0439,Sulfur metabolism
r_0842,Pantothenate and CoA biosynthesis
r_0905,Pantothenate and CoA biosynthesis
r_0906,Pantothenate and CoA biosynthesis
y200015,Pantothenate and CoA biosynthesis
y200016,Pantothenate and CoA biosynthesis
r_0164,Pentose and glucuronate interconversions
r_0205,Pentose and glucuronate interconversions
r_1092,Pentose and glucuronate interconversions
r_1093,Pentose and glucuronate interconversions
r_1094,Pentose and glucuronate interconversions
t_0881,Pentose and glucuronate interconversions
t_0882,Pentose and glucuronate interconversions
y200017,Pentose and glucuronate interconversions
y300040,Pentose and glucuronate interconversions
t_0081,Pentose phosphate pathway
r_0252,Peroxisome
r_0253,Peroxisome
r_0254,Peroxisome
r_2303,Peroxisome
r_2304,Peroxisome
r_0033,Purine metabolism
r_0034,Purine metabolism
r_0035,Purine metabolism
r_0036,Purine metabolism
r_0037,Purine metabolism
r_0139,Purine metabolism
r_0142,Purine metabolism
r_0189,Purine metabolism
r_0190,Purine metabolism
r_0330,Purine metabolism
r_0514,Purine metabolism
r_0526,Purine metabolism
r_0528,Purine metabolism
r_0529,Purine metabolism
r_1076,Purine metabolism
y200001,Purine metabolism
y200019,Purine metabolism
y300031,Purine metabolism
y300032,Purine metabolism
y300060,Purine metabolism
y300061,Purine metabolism
y300070,Purine metabolism
y300078,Purine metabolism
r_0788,Purine metabolism
r_0788,Pyrimidine metabolism
r_0789,Purine metabolism
r_0789,Pyrimidine metabolism
r_0790,Purine metabolism
r_0790,Pyrimidine metabolism
r_0792,Purine metabolism
r_0792,Pyrimidine metabolism
r_0793,Purine metabolism
r_0793,Pyrimidine metabolism
r_0804,Purine metabolism
r_0804,Pyrimidine metabolism
r_0805,Purine metabolism
r_0805,Pyrimidine metabolism
r_0806,Purine metabolism
r_0806,Pyrimidine metabolism
r_0807,Purine metabolism
r_0807,Pyrimidine metabolism
r_0154,Purine metabolism
r_0154,Sulfur metabolism
r_1026,Purine metabolism
r_1026,Sulfur metabolism
r_0306,Pyrimidine metabolism
r_0307,Pyrimidine metabolism
r_0315,Pyrimidine metabolism
r_0326,Pyrimidine metabolism
r_0327,Pyrimidine metabolism
r_0349,Pyrimidine metabolism
r_0363,Pyrimidine metabolism
r_0364,Pyrimidine metabolism
r_0453,Pyrimidine metabolism
r_0820,Pyrimidine metabolism
r_0821,Pyrimidine metabolism
r_1072,Pyrimidine metabolism
r_1073,Pyrimidine metabolism
r_1074,Pyrimidine metabolism
r_1077,Pyrimidine metabolism
r_1078,Pyrimidine metabolism
r_1079,Pyrimidine metabolism
r_1080,Pyrimidine metabolism
y200020,Pyrimidine metabolism
y200021,Pyrimidine metabolism
y200022,Pyrimidine metabolism
y200023,Pyrimidine metabolism
y200024,Pyrimidine metabolism
y200025,Pyrimidine metabolism
y200026,Pyrimidine metabolism
y200027,Pyrimidine metabolism
y200028,Pyrimidine metabolism
y200029,Pyrimidine metabolism
y200030,Pyrimidine metabolism
y200031,Pyrimidine metabolism
y200032,Pyrimidine metabolism
y200033,Pyrimidine metabolism
y200034,Pyrimidine metabolism
y200035,Pyrimidine metabolism
y200036,Pyrimidine metabolism
y300069,Pyrimidine metabolism
y300074,Pyrimidine metabolism
y300075,Pyrimidine metabolism
r_0111,Pyruvate metabolism
r_0553,Pyruvate metabolism
r_0554,Pyruvate metabolism
r_0697,Pyruvate metabolism
r_4039,Pyruvate metabolism
t_0027,Pyruvate metabolism
r_0001,Pyruvate metabolism
r_0001,Sulfur metabolism
r_0002,Pyruvate metabolism
r_0002,Sulfur metabolism
r_0004,Pyruvate metabolism
r_0004,Sulfur metabolism
r_0014,Riboflavin metabolism
r_0015,Riboflavin metabolism
r_1032,Riboflavin metabolism
r_1032,Thiamine metabolism
r_1033,Riboflavin metabolism
r_1033,Thiamine metabolism
r_1038,Selenocompound metabolism
r_0041,Sphingolipid metabolism
r_0259,Sphingolipid metabolism
r_0261,Sphingolipid metabolism
r_0263,Sphingolipid metabolism
r_0264,Sphingolipid metabolism
r_0265,Sphingolipid metabolism
r_0266,Sphingolipid metabolism
r_0596,Sphingolipid metabolism
r_0597,Sphingolipid metabolism
r_0598,Sphingolipid metabolism
r_0599,Sphingolipid metabolism
r_0600,Sphingolipid metabolism
r_0601,Sphingolipid metabolism
r_0602,Sphingolipid metabolism
r_0603,Sphingolipid metabolism
r_0604,Sphingolipid metabolism
r_0605,Sphingolipid metabolism
r_0606,Sphingolipid metabolism
r_0607,Sphingolipid metabolism
r_0608,Sphingolipid metabolism
r_0609,Sphingolipid metabolism
r_0610,Sphingolipid metabolism
r_0611,Sphingolipid metabolism
r_0612,Sphingolipid metabolism
r_0613,Sphingolipid metabolism
r_0614,Sphingolipid metabolism
r_0615,Sphingolipid metabolism
r_0616,Sphingolipid metabolism
r_0617,Sphingolipid metabolism
r_0618,Sphingolipid metabolism
r_0619,Sphingolipid metabolism
r_0620,Sphingolipid metabolism
r_0621,Sphingolipid metabolism
r_0622,Sphingolipid metabolism
r_0623,Sphingolipid metabolism
r_0624,Sphingolipid metabolism
r_0625,Sphingolipid metabolism
r_0626,Sphingolipid metabolism
r_0627,Sphingolipid metabolism
r_0628,Sphingolipid metabolism
r_0629,Sphingolipid metabolism
r_0630,Sphingolipid metabolism
r_0631,Sphingolipid metabolism
r_0632,Sphingolipid metabolism
r_0633,Sphingolipid metabolism
r_0634,Sphingolipid metabolism
r_0635,Sphingolipid metabolism
r_0636,Sphingolipid metabolism
r_0637,Sphingolipid metabolism
r_0638,Sphingolipid metabolism
r_0639,Sphingolipid metabolism
r_0640,Sphingolipid metabolism
r_0641,Sphingolipid metabolism
r_0642,Sphingolipid metabolism
r_0643,Sphingolipid metabolism
r_0644,Sphingolipid metabolism
r_0645,Sphingolipid metabolism
r_0646,Sphingolipid metabolism
r_0647,Sphingolipid metabolism
r_0648,Sphingolipid metabolism
r_0649,Sphingolipid metabolism
r_0650,Sphingolipid metabolism
r_0651,Sphingolipid metabolism
r_0652,Sphingolipid metabolism
r_0653,Sphingolipid metabolism
r_0654,Sphingolipid metabolism
r_0655,Sphingolipid metabolism
r_0921,Sphingolipid metabolism
r_0922,Sphingolipid metabolism
r_1003,Sphingolipid metabolism
r_1004,Sphingolipid metabolism
r_1005,Sphingolipid metabolism
r_0193,Starch and sucrose metabolism
r_0194,Starch and sucrose metabolism
r_0195,Starch and sucrose metabolism
r_0370,Starch and sucrose metabolism
r_0510,Starch and sucrose metabolism
r_1051,Starch and sucrose metabolism
y300056,Starch and sucrose metabolism
r_0126,Steroid biosynthesis
r_0127,Steroid biosynthesis
r_0128,Steroid biosynthesis
r_0129,Steroid biosynthesis
r_0130,Steroid biosynthesis
r_0131,Steroid biosynthesis
r_0132,Steroid biosynthesis
r_0133,Steroid biosynthesis
r_0134,Steroid biosynthesis
r_0135,Steroid biosynthesis
r_3252,Steroid biosynthesis
r_3253,Steroid biosynthesis
r_0883,Sulfur metabolism
r_1027,Sulfur metabolism
y300050,Synthesis and degradation of ketone bodies
y300059,Synthesis and degradation of ketone bodies
r_0561,Thiamine metabolism
r_0903,Thiamine metabolism
r_1034,Thiamine metabolism
r_1035,Thiamine metabolism
t_0879,Transport between c and ce
t_0880,Transport between c and ce
t_0874,Transport between c and erm
t_0875,Transport between c and erm
y300001,"Transport, extracellular"
y300002,"Transport, extracellular"
y300021,"Transport, extracellular"
y300014,"Transport, peroxisome"
y300017,"Transport, peroxisome"
r_0045,Tryptophan metabolism
r_0058,Tryptophan metabolism
r_0670,Tryptophan metabolism
r_0671,Tryptophan metabolism
r_0694,Tryptophan metabolism
r_2112,Tryptophan metabolism
y300044,"Valine, leucine and isoleucine degradation"
y300045,"Valine, leucine and isoleucine degradation"
y300046,"Valine, leucine and isoleucine degradation"
y300048,"Valine, leucine and isoleucine degradation"
r_0953,Vitamin B6 metabolism
r_0954,Vitamin B6 metabolism
r_0955,Vitamin B6 metabolism
r_0956,Vitamin B6 metabolism
r_2029,Vitamin B6 metabolism
